Ethnic group (8 categories),Accommodation type (5 categories),Observation
"Asian, Asian British or Asian Welsh",Whole house or bungalow: Detached,953810
"Asian, Asian British or Asian Welsh",Whole house or bungalow: Semi-detached,1702072
"Asian, Asian British or Asian Welsh",Whole house or bungalow: Terraced,1574762
"Asian, Asian British or Asian Welsh","Flat, maisonette or apartment",1157199
"Asian, Asian British or Asian Welsh",A caravan or other mobile or temporary structure,3086
"Black, Black British, Black Welsh, Caribbean or African",Whole house or bungalow: Detached,215891
"Black, Black British, Black Welsh, Caribbean or African",Whole house or bungalow: Semi-detached,590234
"Black, Black British, Black Welsh, Caribbean or African",Whole house or bungalow: Terraced,561769
"Black, Black British, Black Welsh, Caribbean or African","Flat, maisonette or apartment",978955
"Black, Black British, Black Welsh, Caribbean or African",A caravan or other mobile or temporary structure,3349
Mixed or Multiple ethnic groups,Whole house or bungalow: Detached,268030
Mixed or Multiple ethnic groups,Whole house or bungalow: Semi-detached,509425
Mixed or Multiple ethnic groups,Whole house or bungalow: Terraced,443766
Mixed or Multiple ethnic groups,"Flat, maisonette or apartment",458551
Mixed or Multiple ethnic groups,A caravan or other mobile or temporary structure,1757
"White: English, Welsh, Scottish, Northern Irish or British",Whole house or bungalow: Detached,12284449
"White: English, Welsh, Scottish, Northern Irish or British",Whole house or bungalow: Semi-detached,15614690
"White: English, Welsh, Scottish, Northern Irish or British",Whole house or bungalow: Terraced,10431151
"White: English, Welsh, Scottish, Northern Irish or British","Flat, maisonette or apartment",5151948
"White: English, Welsh, Scottish, Northern Irish or British",A caravan or other mobile or temporary structure,147628
White: Irish,Whole house or bungalow: Detached,104686
White: Irish,Whole house or bungalow: Semi-detached,150130
White: Irish,Whole house or bungalow: Terraced,119667
White: Irish,"Flat, maisonette or apartment",120990
White: Irish,A caravan or other mobile or temporary structure,1221
"White: Gypsy or Irish Traveller, Roma or Other White",Whole house or bungalow: Detached,527786
"White: Gypsy or Irish Traveller, Roma or Other White",Whole house or bungalow: Semi-detached,992380
"White: Gypsy or Irish Traveller, Roma or Other White",Whole house or bungalow: Terraced,840774
"White: Gypsy or Irish Traveller, Roma or Other White","Flat, maisonette or apartment",1390810
"White: Gypsy or Irish Traveller, Roma or Other White",A caravan or other mobile or temporary structure,19540
Other ethnic group,Whole house or bungalow: Detached,189949
Other ethnic group,Whole house or bungalow: Semi-detached,334313
Other ethnic group,Whole house or bungalow: Terraced,259354
Other ethnic group,"Flat, maisonette or apartment",448884
Other ethnic group,A caravan or other mobile or temporary structure,2845
